Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,,,,,,,,,,,,
